title,artist,year,genre,composer,file_path,Artista encontrado,Titulo encontrado,Numero de coincidencias,Hay coincidencia preferida,No hay coincidencia preferida,Coincidencia perfecta
Amarguras,Miguel Caló / Roman Prince,1933,tango vals,Musica: Miguel Nijensohn y Jaime de los Hoyos - Letra: Sapet Grasso,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1933_Caló - Román Prince_Amarguras.flac",True,True,1,False,True,True
Milonga porteña,Miguel Caló / Roman Prince,1933,tango,Musica: Luis Brighenti y Miguel Caló - Letra: Mario César Gomila,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1933_Caló - Román Prince_Milonga porteña.flac",True,True,1,False,True,True
Coplas de esperanza,Miguel Caló / Carlos Dante,1934-11-26,pasodoble,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1934_Caló - Carlos Dante_Coplas de esperanza.mp3",True,True,1,False,True,True
Mentiras piadosas,Miguel Caló / Carlos Dante,1934-11-26,tango,Musica: Miguel Nijensohn y Pedro Héctor Pandolfi - Letra: Carlos Marín,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1934_Caló - Carlos Dante_Mentiras piadosas.mp3",True,True,1,False,True,True
No vale la pena,Miguel Caló / Carlos Dante,1934-10-05,tango,Musica: Antonio Helú - Letra: Antonio Helú,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1934_Caló - Carlos Dante_No vale la pena.flac",True,True,1,False,True,True
Tu eres para mi,Miguel Caló / Carlos Dante,1934-10-05,tango vals,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1934_Caló - Carlos Dante_Tu eres para mi.mp3",True,True,1,False,True,True
Alla en el cielo,Miguel Caló / Carlos Dante,1935-03-25,tango vals,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Allá en el cielo.mp3",True,True,1,False,True,True
Alma mía,Miguel Caló / Carlos Dante y Hermanas Morel,1935-12-17,tango,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Alma mia.mp3",True,True,1,False,True,True
Declaracion,Miguel Caló / Carlos Dante,1935-12-17,ranchera,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Declaracion.mp3",True,True,1,False,True,True
Es una santa mama,Miguel Caló / Carlos Dante,1935-06-10,tango,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Es una santa mamá.mp3",True,True,1,False,True,True
Los años pasan,Miguel Caló / Carlos Dante,1935-03-25,tango,Musica: Armando Baliotti - Letra: Carlos Giampé,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Los años pasan.flac",True,True,1,False,True,True
Los años pasan,Miguel Caló / Carlos Dante,1935-03-25,tango,Musica: Armando Baliotti - Letra: Carlos Giampé,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Los años pasan.mp3",True,True,1,False,True,True
Puesta de sol,Miguel Caló / Carlos Dante,1935-04-05,ranchera,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Puesta de sol.mp3",True,True,1,False,True,True
Serpentinas de esperanza,MIguel Caló,1935,tango,Musica: José Canet - Letra: Afner Gatti,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Serpentinas de esperanza.mp3",True,True,2,False,True,False
Si volviera Jesús,Miguel Caló / Carlos Dante,1935-09-28,tango,Musica: Joaquín Mora - Letra: Dante A. Linyera,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Si volviera Jesús.flac",True,True,1,False,True,True
Suena el acordeon,Miguel Caló / Carlos Dante,1935-06-10,ranchera,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Suena el acordeon.mp3",True,True,1,False,True,True
Voluntad,Miguel Caló / Carlos Dante,1935-09-28,tango,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Voluntad.mp3",True,True,1,False,True,True
"Bailar, soñar",MIguel Caló,13/0,tango vals,Musica: Enrico Malatesta - Letra: Louis Raymond,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1936_Caló - Alberto Morel_Bailar, soñar.mp3",True,True,2,False,True,False
La pequeña Shirley (fox trot),MIguel Caló,23/1,tango vals,Musica: Miguel Caló - Letra: Mario César Gomila,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1936_Caló - Alberto Morel_La pequeña Shirley (fox trot).mp3",True,True,1,False,True,False
Las campanas,Miguel Caló / Alberto Morel,1936-07-13,tango,Musica: Armando Acquarone - Letra: Juan Velich,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1936_Caló - Alberto Morel_Las campanas.flac",True,True,1,False,True,True
Nostalgias,Miguel Caló / Alberto Morel,1936-10-23,tango,Musica: Juan Carlos Cobián - Letra: Enrique Cadícamo,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1936_Caló - Alberto Morel_Nostalgias.flac",True,True,1,False,True,True
Caballo a calesita,MIguel Caló,14-03-1936,tango,"Miguel Nijensohn, Pedro Héctor Pandolfi & Carlos Marín","D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1936_Caló - Carlos Dante_Caballo a calesita.flac",True,True,1,False,True,False
Los leñadores,Miguel Caló / Carlos Dante,1936-03-14,ranchera,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1936_Caló - Carlos Dante_Los leñadores.mp3",True,True,1,False,True,True
Malvaloca,Miguel Caló / Carlos Dante,1936-03-14,pasodoble,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1936_Caló - Carlos Dante_Malvaloca.mp3",True,True,1,False,True,True
Soy milonguero,Miguel Caló / Carlos Dante,1936-03-14,tango,Musica: Miguel Caló - Letra: Mario César Gomila,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1936_Caló - Carlos Dante_Soy milonguero.flac",True,True,1,False,True,True
Dulce amargura,Miguel Caló / Roberto Caló,1938-12-21,tango,Musica: Virgilio San Clemente - Letra: Héctor Alperi y Jorge Torres,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1938_Caló - Roberto Caló_Dulce amargura.flac",True,True,1,False,True,True
Luces del puerto,Miguel Caló / Roberto Caló,1938-12-21,foxtrot,Musica: Kenneth Williams - Letra: Ramón Novarro,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1938_Caló - Roberto Caló_Luces del puerto.flac",True,True,1,False,True,True
Bajo un cielo de estrellas,Miguel Caló / Alberto Podestá,1941-03-12,tango vals,Musica: Enrique Francini y Héctor Stamponi - Letra: José María Contursi,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1941_Caló - Alberto Podestá_Bajo un cielo de estrellas.flac",True,True,1,False,True,True
Dos fracasos,Miguel Caló / Alberto Podestá,1941-07-31,tango,Musica: Miguel Caló - Letra: Homero Expósito,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1941_Caló - Alberto Podestá_Dos fracasos.flac",True,True,1,False,True,True
Me casé con un sargento,Miguel Caló / Alberto Podestá,1941-07-31,polca,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1941_Caló - Alberto Podestá_Me casé con un sargento.flac",True,True,1,False,True,True
Yo soy el tango,Miguel Caló / Alberto Podestá,1941-06-12,tango,Musica: Domingo Federico - Letra: Homero Expósito,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1941_Caló - Alberto Podestá_Yo soy el tango.flac",True,True,1,False,True,True
Pedacito de cielo,Miguel Caló / Alberto Podestá,1942-09-02,tango vals,Musica: Enrique Francini y Héctor Stamponi - Letra: Homero Expósito,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Alberto Podestá_Pedacito de cielo.flac",True,True,1,False,True,True
Al compás del corazón (Late un corazón),Miguel Caló / Raúl Berón,1942-04-29,tango,Musica: Domingo Federico - Letra: Homero Expósito,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Al compás del corazón.flac",True,True,1,False,True,True
Azabache,Miguel Caló / Raúl Berón,1942-09-29,tango milonga,Musica: Enrique Francini y Héctor Stamponi - Letra: Homero Expósito,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Azabache.flac",True,True,1,False,True,True
Corazón no le hagas caso,Miguel Caló / Raúl Berón,1942-09-29,tango,Musica: Armando Pontier - Letra: Carlos Bahr,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Corazon no le hagas caso.flac",True,True,1,False,True,True
Cuatro compases,Miguel Caló / Raúl Berón,1942-12-01,tango,Musica: Atilio Bruni - Letra: Oscar Rubens,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Cuatro compáses.flac",True,True,1,False,True,True
El vals soñador,Miguel Caló / Raúl Berón,1942-04-29,tango vals,Musica: Armando Pontier - Letra: Oscar Rubens,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_El vals soñador.flac",True,True,1,False,True,True
Jamás retornarás,Miguel Caló / Raúl Berón,1942-10-09,tango,Musica: Osmar Maderna y Miguel Caló - Letra: Osmar Maderna y Miguel Caló,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Jamás retornarás.flac",True,True,1,False,True,True
Lejos de Buenos Aires,Miguel Caló / Raúl Berón,1942-07-29,tango,Musica: Alberto Suárez Villanueva - Letra: Oscar Rubens,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Lejos de Buenos Aires.flac",True,True,1,False,True,True
Margarita Gauthier,Miguel Caló / Raúl Berón,1942-09-09,tango,Musica: Joaquín Mora - Letra: Julio Jorge Nelson,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Margarita Gauthier.flac",True,True,1,False,True,True
Milonga antigua,Miguel Caló / Raúl Berón,1942-12-01,tango milonga,Musica: Carlos Parodi - Letra: Rafael Pignataro,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Milonga antigua.flac",True,True,1,False,True,True
Milonga que peina canas,Miguel Caló / Raúl Berón,1942-09-09,tango milonga,Musica: Alberto Gómez - Letra: Alberto Gómez,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Milonga que peina canas.flac",True,True,1,False,True,True
Que te importa que te llore,Miguel Caló / Raúl Berón,1942-06-30,tango,Musica: Miguel Caló y Osmar Maderna - Letra: Miguel Caló y Osmar Maderna,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Qué te importa que te llore.flac",True,True,1,False,True,True
Tarareando,Miguel Caló / Raúl Berón,1942-07-27,tango,Musica: Juan José Guichandut y Oscar Rubens - Letra: Juan José Guichandut y Oscar Rubens,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Tarareando.flac",True,True,1,False,True,True
Trasnochando,Miguel Caló / Raúl Berón,1942-06-30,tango,Musica: Armando Baliotti - Letra: Santiago Adamini,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Trasnochando.flac",True,True,1,False,True,True
Tristezas de la calle Corrientes,Miguel Caló / Raúl Berón,1942-09-02,tango,Musica: Domingo Federico - Letra: Homero Expósito,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Tristezas de la Calle Corrientes - Remaster.mp3",True,True,1,False,True,True
Tristezas de la calle Corrientes,Miguel Caló / Raúl Berón,1942-09-02,tango,Musica: Domingo Federico - Letra: Homero Expósito,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Triztezas de la calle Corrientes.flac",True,True,1,False,True,True
Un crimen,Miguel Caló / Raúl Berón,1942-10-09,tango,Musica: Luis Rubistein - Letra: Luis Rubistein,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Un crimen (Remaster).mp3",True,True,1,False,True,True
Un crimen,Miguel Caló / Raúl Berón,1942-10-09,tango,Musica: Luis Rubistein - Letra: Luis Rubistein,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1942_Caló - Raúl Berón_Un crimen.flac",True,True,1,False,True,True
Percal,Miguel Caló / Alberto Podestá,1943-02-25,tango,Musica: Domingo Federico - Letra: Homero Expósito,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1943_Caló - Alberto Podestá_Percal.flac",True,True,1,False,True,True
Si tú quisieras,Miguel Caló / Alberto Podestá,1943-03-18,tango,Musica: Francisco Pracánico - Letra: Luis Rubistein,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1943_Caló - Alberto Podestá_Si tu quisieras.flac",True,True,1,False,True,True
A Martín Fierro,Miguel Caló,1943-03-18,tango,Musica: Francisco Federico,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1943_Caló - Instr_A Martín Fierro.flac",True,True,1,False,True,True
Elegante papirusa,Miguel Caló,1943-12-27,tango,Musica: Tito Roccatagliata,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1943_Caló - Instr_Elegante papirusa.flac",True,True,1,False,True,True
Inspiración,Miguel Caló,1943-01-20,tango,Musica: Peregrino Paulos - Letra: Luis Rubistein,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1943_Caló - Instr_Inspiración.flac",True,True,1,False,True,True
La maleva,Miguel Caló,1943-08-10,tango,Musica: Antonio Buglione - Letra: Mario Pardo,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1943_Caló - Instr_La maleva.flac",True,True,1,False,True,True
A las siete en el café,Miguel Caló / Jorge Ortiz,1943-01-20,tango,Musica: Armando Baliotti - Letra: Santiago Adamini,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1943_Caló - Jorge Ortíz_A las 7 en el café.flac",True,True,1,False,True,True
Barrio de tango,Miguel Caló / Jorge Ortiz,1943-01-19,tango,Musica: Aníbal Troilo - Letra: Homero Manzi,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1943_Caló - Jorge Ortíz_Barrio de tango.flac",True,True,1,False,True,True
De barro,Miguel Caló / Jorge Ortiz,1943-05-15,tango,Musica: Sebastián Piana - Letra: Homero Manzi,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1943_Caló - Jorge Ortíz_De barro.flac",True,True,1,False,True,True
Mi cantar,Miguel Caló / Jorge Ortiz,1943-05-21,tango,Musica: Héctor Stamponi - Letra: Homero Expósito,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1943_Caló - Jorge Ortíz_Mi cantar.flac",True,True,1,False,True,True
Pa' que seguir,Miguel Caló / Jorge Ortiz,1943-01-19,tango,Musica: Francisco Fiorentino - Letra: Pedro Lloret,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1943_Caló - Jorge Ortíz_Pa' qué seguir.flac",True,True,1,False,True,True
Pobre negra,Miguel Caló / Jorge Ortiz,1943-06-10,tango milonga,Musica: Héctor Stamponi y Enrique Francini - Letra: Homero Expósito,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1943_Caló - Jorge Ortíz_Pobre negra.flac",True,True,1,False,True,True
